Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,7.39,6.57,65.59,63.74
Sumatera Utara,6.41,5.6,69.13,68.88
Sumatera Barat,5.8,5.58,70.42,66.29
Riau,5.76,6.22,68.42,64
Jambi,3.67,3.87,70.84,67.52
Sumatera Selatan,3.8,4.39,72.12,69.5
Bengkulu,2.81,3.74,74.59,69.3
Lampung,4.43,4.33,71.63,67.83
Kepulauan Bangka Belitung,4.46,3.78,70.35,66.72
Kepulauan Riau,6.44,7.16,73.47,66.41
DKI Jakarta,5.36,7.14,70.18,61.97
Jawa Barat,8.49,8.22,64.6,63.34
Jawa Tengah,4.15,4.57,70.2,69.11
DI Yogyakarta,2.84,3.02,72,71.52
Jawa Timur,4.1,4,68.93,68.78
Banten,7.75,9.28,67.23,62.32
Bali,1.28,1.48,76.87,75.24
Nusa Tenggara Barat,3.86,3.32,72.62,68.49
Nusa Tenggara Timur,3.21,3.27,72.82,69.09
Kalimantan Barat,4.22,4.36,72.03,68.63
Kalimantan Tengah,3.13,4.23,73.64,67.74
Kalimantan Selatan,3.53,4.77,73.41,70.06
Kalimantan Timur,8.55,6.91,65.45,63.75
Kalimantan Utara,5.17,5.54,68.33,68.24
Sulawesi Utara,6.12,7.18,68.78,60.85
Sulawesi Tengah,2.97,3.81,73.87,67.14
Sulawesi Selatan,4.77,5.61,64.28,60.98
Sulawesi Tenggara,3.14,3.3,73.05,68.7
Gorontalo,3.65,4.28,70.44,64.78
Sulawesi Barat,2.98,3.21,70.68,66.96
Maluku,7.77,9.29,66.08,60.18
Maluku Utara,4.82,5.33,69.48,63.65
Papua Barat,7.52,6.49,70.2,67.47
Papua,3.96,3.62,77.3,76.94
Indonesia,5.33,5.5,69.02,66.67
