Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,6.54,6.34,64.75,64.04
Sumatera Utara,5.61,5.55,73.48,71.97
Sumatera Barat,5.68,5.66,73.07,67.56
Riau,5.55,5.98,70.26,65.24
Jambi,3.56,3.73,70.95,68.21
Sumatera Selatan,4.08,4.27,72.85,68.45
Bengkulu,2.63,3.35,73.34,70.27
Lampung,4.32,4.04,72.8,69.62
Kepulauan Bangka Belitung,3.59,3.61,70.83,67.26
Kepulauan Riau,7.3,8.04,71.28,64.33
DKI Jakarta,5.73,6.65,68.49,62.92
Jawa Barat,8.22,8.23,63.73,62.84
Jawa Tengah,4.19,4.47,69.86,68.81
DI Yogyakarta,3,3.37,72.06,73.12
Jawa Timur,3.77,3.91,68.95,69.56
Banten,7.72,8.47,66.45,62.95
Bali,0.88,1.4,79.68,76.56
Nusa Tenggara Barat,3.28,3.58,70.49,66.68
Nusa Tenggara Timur,2.82,2.85,74.57,71.75
Kalimantan Barat,4.09,4.18,72.53,68.86
Kalimantan Tengah,3.14,3.91,72.65,69.69
Kalimantan Selatan,3.72,4.35,73.01,69.74
Kalimantan Timur,6.79,6.41,68.53,64.55
Kalimantan Utara,4.7,5.11,69.05,66.87
Sulawesi Utara,5.86,6.61,67.82,63.09
Sulawesi Tengah,3.12,3.37,73.46,69.76
Sulawesi Selatan,5.04,4.94,67.37,63.93
Sulawesi Tenggara,2.77,3.19,72.86,69.75
Gorontalo,3.38,3.7,73.41,67.94
Sulawesi Barat,2.33,3.01,72.1,69.27
Maluku,7.07,6.95,65.87,63.87
Maluku Utara,4.56,4.63,72.01,65.73
Papua Barat,6.27,6.45,69.78,67.3
Papua,2.75,3,79.31,79.02
Indonesia,5.1,5.3,69.28,67.31
