Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,5.97,6.17,64.15,63.5
Sumatera Utara,5.47,6.16,70.45,69.53
Sumatera Barat,6.17,6.28,68,69.3
Riau,4.4,4.37,65.98,63.86
Jambi,4.7,4.59,68.86,67.84
Sumatera Selatan,4.74,4.63,69.33,69.31
Bengkulu,3.39,3.59,71.49,69.81
Lampung,4.31,4.52,72.51,70.06
Kepulauan Bangka Belitung,4.18,4.77,70.16,67.38
Kepulauan Riau,8.02,8.23,66.48,68.94
DKI Jakarta,8,7.18,62.27,63.08
Jawa Barat,8.35,8.31,66.31,66.15
Jawa Tengah,5.75,5.57,72.04,70.84
DI Yogyakarta,3.73,4.06,74.68,72.6
Jawa Timur,4.81,5.49,70.99,71.23
Banten,8.53,8.09,65.08,64.72
Bali,4.84,4.8,77.14,76.86
Nusa Tenggara Barat,3.92,2.89,70.25,70.93
Nusa Tenggara Timur,3.3,3.54,73.66,75.23
Kalimantan Barat,4.86,5.11,69.74,68.97
Kalimantan Tengah,4.2,4.26,66.94,67.23
Kalimantan Selatan,4.2,4.74,69.64,67.55
Kalimantan Timur,6.77,5.71,66.22,64.73
Kalimantan Utara,4.62,4.33,64.52,67.62
Sulawesi Utara,6.51,6.61,61.97,63.08
Sulawesi Tengah,3.67,3,70.86,69.99
Sulawesi Selatan,5.75,4.51,65.85,66.18
Sulawesi Tenggara,3.86,3.36,66.31,68.82
Gorontalo,3.25,2.58,67.78,68.91
Sulawesi Barat,3.11,2.34,68.9,73
Maluku,6.44,6.88,63.08,65.46
Maluku Utara,4.98,3.98,66.71,64.88
Papua Barat,5.78,5.37,69.59,68.55
Papua,3.6,2.83,80.23,77.75
Indonesia,5.83,5.86,69.06,68.63
,,,,
Catatan,,,,
-,,,,
