38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2024,2024,2024
ACEH,82.93,80.1,81.1
SUMATERA UTARA,90.14,79.92,85.73
SUMATERA BARAT,76.15,69.36,72.82
RIAU,88.97,84.58,86.32
JAMBI,82.19,84.84,83.97
SUMATERA SELATAN,88.39,78.92,82.36
BENGKULU,75.32,86.81,83.01
LAMPUNG,73.63,91.23,85.44
KEP. BANGKA BELITUNG,95.41,92.37,94.16
KEP. RIAU,95.33,54.56,91.23
DKI JAKARTA,94.01,-,94.01
JAWA BARAT,73.54,80.94,75.1
JAWA TENGAH,84.41,89.25,86.72
DI YOGYAKARTA,96.27,98.16,96.71
JAWA TIMUR,86.55,84.31,85.56
BANTEN,90,79.36,87.93
BALI,97.9,93.97,96.83
NUSA TENGGARA BARAT,85.97,87.7,86.8
NUSA TENGGARA TIMUR,80.07,76.76,77.66
KALIMANTAN BARAT,78.8,83.25,81.56
KALIMANTAN TENGAH,82.2,75.01,78.15
KALIMANTAN SELATAN,83.36,84.05,83.7
KALIMANTAN TIMUR,94.06,86.32,91.65
KALIMANTAN UTARA,83.11,88.95,85.17
SULAWESI UTARA,88.29,86.07,87.31
SULAWESI TENGAH,74.56,78.82,77.4
SULAWESI SELATAN,92.36,95.13,93.83
SULAWESI TENGGARA,93.1,89,90.62
GORONTALO,88.62,78.08,82.99
SULAWESI BARAT,89.35,80.86,82.52
MALUKU,86.58,75.56,80.51
MALUKU UTARA,93.43,77.47,82.32
PAPUA BARAT,86.31,75.86,79
PAPUA BARAT DAYA,85.72,69.01,77.84
PAPUA,86.3,71.88,80.57
PAPUA SELATAN,82.41,48.78,60.85
PAPUA TENGAH,97.13,25.43,41.44
PAPUA PEGUNUNGAN,69.16,8.13,12.61
INDONESIA,84.06,82.93,83.6
